pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
,,,0,,,,,,
110001,Delhi,Central Delhi,5284,5664,1324,9552,364,156,24
110002,Delhi,Central Delhi,2992,3884,357,3443,302,79,4
110003,Delhi,Central Delhi,16464,21762,1470,14682,2164,928,336
110004,Delhi,Central Delhi,87,18,6,56,10,1,0
110005,Delhi,Central Delhi,4634,6424,834,10227,619,202,50
110006,Delhi,North Delhi,7948,11432,1748,17100,778,161,9
110007,Delhi,North Delhi,11350,15560,2244,27864,646,180,18
110008,Delhi,Central Delhi,6469,8161,2072,19508,376,123,18
110009,Delhi,North West Delhi,3241,4410,520,6433,306,71,14
110010,Delhi,South West Delhi,1883,2578,197,1582,113,40,2
110011,Delhi,Central Delhi,672,1384,76,432,64,8,4
110012,Delhi,Central Delhi,2452,3771,329,3142,138,25,5
110013,Delhi,South Delhi,1515,1347,56,751,117,19,5
110014,Delhi,South Delhi,1852,1964,234,3127,162,33,17
110015,Delhi,West Delhi,4642,6970,1170,11126,627,169,22
110016,Delhi,South Delhi,4108,3344,608,6896,736,240,108
110017,Delhi,South Delhi,3766,5371,980,10622,996,307,117
110018,Delhi,West Delhi,8841,12116,1493,15270,2324,752,162
110019,Delhi,South Delhi,6256,7045,1594,16653,552,116,14
110020,Delhi,South Delhi,3879,4979,198,2055,268,97,7
110021,Delhi,New Delhi,5860,6824,996,6124,608,224,184
110022,Delhi,South West Delhi,1805,2172,422,2911,149,27,14
110023,Delhi,New Delhi,4200,5760,844,7504,392,96,44
110024,Delhi,South Delhi,1071,1400,99,1591,196,72,52
110025,Delhi,South Delhi,31964,40224,11040,96580,3484,1140,44
110026,Delhi,West Delhi,877,1140,102,1179,87,24,6
110027,Delhi,West Delhi,5391,9091,1148,12041,740,226,43
110028,Delhi,South West Delhi,2105,2236,203,2000,119,27,1
110029,Delhi,South West Delhi,1354,1672,162,2314,135,30,23
110030,Delhi,South Delhi,21548,32636,2248,22844,2544,884,188
110031,Delhi,East Delhi,5716,7423,3136,17371,409,134,6
110032,Delhi,East Delhi,91503,129915,19701,126324,13950,5085,504
110033,Delhi,North West Delhi,10880,17220,3997,38251,814,199,5
110034,Delhi,North West Delhi,6964,7548,3802,26863,1630,566,122
110035,Delhi,North West Delhi,3166,4574,754,7249,255,60,1
110036,Delhi,North West Delhi,5194,6559,1410,6952,387,92,4
110037,Delhi,South West Delhi,10504,9194,4056,20742,763,338,65
110038,Delhi,South West Delhi,931,719,189,1226,39,13,0
110039,Delhi,North West Delhi,16600,23824,6042,29128,902,368,44
110040,Delhi,North West Delhi,17750,15896,6976,26542,1292,824,92
110041,Delhi,West Delhi,18033,27420,7204,35266,2115,629,22
110042,Delhi,North West Delhi,17676,29109,4551,27811,1061,319,7
